tag,source,score,wmape_weighted,peak_std_11_12,dec_mean,n_folds,xgb_params
optuna_035,optuna,33.20841748426914,32.584172132653904,0.6242453516152358,29.29067830448221,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.03853103266059895, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 14, ""subsample"": 0.8220945804624364, ""colsample_bytree"": 0.6561995892869351, ""reg_lambda"": 0.04299900838549059, ""reg_alpha"": 0.2108231046790004, ""gamma"": 2.9634275714306617}"
random_040,random,33.20882470130943,32.42397424507931,0.7848504562301266,28.95255884024841,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.05411526733496175, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 6, ""subsample"": 0.863488828171507, ""colsample_bytree"": 0.8069924331708692, ""reg_lambda"": 5.56167700106287, ""reg_alpha"": 0.001936004967978628, ""gamma"": 0.07495189467610741}"
random_024,random,33.23142833496693,32.162537077482895,1.0688912574840317,28.772736474372774,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.018022795830553384, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 1, ""subsample"": 0.8261422487803132, ""colsample_bytree"": 0.8278731267259117, ""reg_lambda"": 0.014017949232594924, ""reg_alpha"": 0.5691580178476416, ""gamma"": 1.2542347428994198}"
optuna_096,optuna,33.23783094243573,32.878134594102676,0.35969634833305614,29.740460833270525,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.10960214155597711, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 8, ""subsample"": 0.9604030460892226, ""colsample_bytree"": 0.7294753746736923, ""reg_lambda"": 2.5920736581146526, ""reg_alpha"": 1.043096116219882, ""gamma"": 1.6805462030357017}"
random_064,random,33.241780361596945,32.126353100053365,1.1154272615435767,28.452021102888082,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.013405655394605408, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 1, ""subsample"": 0.760772267856904, ""colsample_bytree"": 0.6172987848548235, ""reg_lambda"": 0.05474911115473675, ""reg_alpha"": 0.0009642800627692732, ""gamma"": 0.8480418291350372}"
random_012,random,33.24295574644097,32.317605305645415,0.9253504407955577,29.500027308755968,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.013478139190627883, ""n_estimators"": 2900, ""max_depth"": 5, ""min_child_weight"": 2, ""subsample"": 0.6350718488563108, ""colsample_bytree"": 0.9989103153660672, ""reg_lambda"": 6.437029531641641, ""reg_alpha"": 0.00011947914341018486, ""gamma"": 1.5364095437143432}"
optuna_057,optuna,33.25663152948149,32.42233109036747,0.8343004391140139,29.742171161526326,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.11680167964585364, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 8, ""subsample"": 0.9791758059726329, ""colsample_bytree"": 0.6293913284783946, ""reg_lambda"": 18.2722765979017, ""reg_alpha"": 4.844627932545547, ""gamma"": 2.0254364743766002}"
optuna_043,optuna,33.25766318535236,32.71041586487007,0.5472473204822823,28.234987032238497,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.04547806363559088, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 12, ""subsample"": 0.8901765091650806, ""colsample_bytree"": 0.8088350883228251, ""reg_lambda"": 0.5227939243411363, ""reg_alpha"": 0.0011269854702627964, ""gamma"": 1.2916205825110003}"
optuna_031,optuna,33.259245895622584,32.590818231816726,0.6684276638058588,29.63089925902026,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.054383894562704, ""n_estimators"": 2900, ""max_depth"": 4, ""min_child_weight"": 10, ""subsample"": 0.8735000502081529, ""colsample_bytree"": 0.6481072909096723, ""reg_lambda"": 0.02427922750562385, ""reg_alpha"": 0.053149817041473424, ""gamma"": 2.607951215803927}"
random_034,random,33.26453573961736,31.998792322937696,1.2657434166796608,28.14708081859052,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.013774259845890768, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 8, ""subsample"": 0.7812045793009688, ""colsample_bytree"": 0.6760028565133186, ""reg_lambda"": 0.05249692210112829, ""reg_alpha"": 0.0030058817289832186, ""gamma"": 0.8726975265524883}"
random_045,random,33.268085678356236,32.46925490802871,0.798830770327529,28.44482960533115,12,"{""objective"": ""reg:absoluteerror"", ""eval_metric"": ""mae"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""learning_rate"": 0.01685041838710716, ""n_estimators"": 2900, ""max_depth"": 3, ""min_child_weight"": 7, ""subsample"": 0.9777803928566865, ""colsample_bytree"": 0.7794844127089946, ""reg_lambda"": 6.61504966976478, ""reg_alpha"": 0.00114813085768734, ""gamma"": 1.0647188121257614}"
