iter,tune_metric,tune_score,wmape_weighted,peak_std_11_12,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,n_estimators
107,wmape_only,24.510747010991494,24.510747010991494,inf,0.011851100587176285,4,11,0.8796575834541787,0.6667959960657615,0.11088956516934632,0.014252290777516465,2.242322048732625,2900
55,wmape_only,24.536817122918446,24.536817122918446,inf,0.015057347859235525,6,13,0.8775638033132804,0.689835213360203,0.0015971220598882023,1.9113945119991533,2.8989292119384102,2900
140,wmape_only,24.542399740759503,24.542399740759503,inf,0.01846516549238977,3,14,0.7266179693264331,0.866995247720059,0.18500128079278236,11.993984909419025,2.1369349259997357,2900
127,wmape_only,24.552468993443874,24.552468993443874,inf,0.013873089023019794,8,10,0.6284740886917838,0.9580602103403171,0.0060706099967618365,0.02119515014892588,2.5352167244152817,2900
113,wmape_only,24.59032203402535,24.59032203402535,inf,0.02343208815548491,3,11,0.8818801410279362,0.7246868473449815,4.1954688873459345,0.6629856821997545,2.7542264294984387,2900
25,wmape_only,24.62322533917804,24.62322533917804,inf,0.04288102929442894,4,11,0.9494995623818279,0.9211677149916974,0.21784209498027948,0.13152201006368913,1.2936938473731128,2900
33,wmape_only,24.648630975882785,24.648630975882785,inf,0.03597860208020116,7,9,0.8407123077405296,0.9902746230158496,1.2682465893187742,0.03052009418311113,2.375406506693099,2900
73,wmape_only,24.654507072173125,24.654507072173125,inf,0.06137044579229183,6,14,0.988865539903975,0.8309025324685585,0.00037656254749725927,5.8623526312154635,0.8110160217724071,2900
110,wmape_only,24.654964821884803,24.654964821884803,inf,0.013438321952318241,3,13,0.814829962188711,0.7048701840657925,0.0001396460357696767,0.1432167414847621,2.2841208090438636,2900
51,wmape_only,24.665056354679926,24.665056354679926,inf,0.050755882134266184,8,12,0.9032078148939647,0.8663662430556748,0.0951905174344278,1.5286736918194679,2.892245667366068,2900
101,wmape_only,24.6987389581445,24.6987389581445,inf,0.030841967248923678,3,12,0.6226072669411811,0.6437377378286845,2.699715307060365,4.028531574508431,2.526705080651708,2900
70,wmape_only,24.71489579815558,24.71489579815558,inf,0.025449488045148277,5,9,0.7074580014231393,0.8278019917921747,0.15545596306411175,0.052797548036215794,0.013223006596446818,2900
26,wmape_only,24.748581651259805,24.748581651259805,inf,0.030201637521694878,3,6,0.9294779301383035,0.6794868646792297,1.9009354740193245,0.13144406752965293,2.330498431972522,2900
133,wmape_only,24.775698251828647,24.775698251828647,inf,0.011042648787419866,8,8,0.8528628967620502,0.9500460520552022,0.9296171166300055,2.125632411538193,2.7125490317986283,2900
49,wmape_only,24.79432504170649,24.79432504170649,inf,0.016452411805725996,3,4,0.7935966896765526,0.9153312363059324,0.0515821487184545,0.013371493455694255,2.85655854691652,2900
4,wmape_only,24.79831640004218,24.79831640004218,inf,0.12956631279173572,8,15,0.9132755146835825,0.9961408576240345,0.0001248105269545463,0.09414312562635281,2.9138054704815524,2900
116,wmape_only,24.807265257473027,24.807265257473027,inf,0.026173628299783886,5,10,0.7240483568265526,0.8723354504701986,0.00013850703759584086,0.19408758614976504,0.5646370072957629,2900
96,wmape_only,24.836222006934346,24.836222006934346,inf,0.02425971496634162,3,10,0.9247564276664717,0.8833299515676836,0.0860391293121547,0.045831095278228366,0.18521766031012354,2900
57,wmape_only,24.839038692170888,24.839038692170888,inf,0.05065434890908302,7,8,0.8150656764757,0.7484587555630596,0.0663129107247366,1.6052176450552211,1.7198043041279212,2900
45,wmape_only,24.843147079263854,24.843147079263854,inf,0.01685041838710716,3,7,0.9777803928566865,0.7794844127089946,0.00114813085768734,6.61504966976478,1.0647188121257614,2900
83,wmape_only,24.848182831115853,24.848182831115853,inf,0.038443050262963956,7,13,0.7966773427223779,0.6061376727482921,0.004549407380389747,12.906569074203054,2.6885495774701815,2900
